Scientific_Name,No_of_plants,Habit,Family,Species_distribution,Conservation_status ,Endemic
Ficus benghalensis var. krishnae (C.DC.) Corner,50,Tree,Moraceae,N,NE,Non Endemic
Ficus benjamina L.,68,Tree,Moraceae,N,LC,Non Endemic
Ficus callosa Willd.,57,Tree,Moraceae,N,NE,Non Endemic
Ficus carica L.,160,Tree,Moraceae,E,LC,Non Endemic
Ficus drupacea Thunb.,227,Tree,Moraceae,N,LC,Non Endemic
Ficus elastica Roxb. ex Hornem.,6,Tree,Moraceae,N,NE,Non Endemic
Ficus exasperata Vahl,59,Tree,Moraceae,N,LC,Non Endemic
Ficus hispida L.f.,158,Tree,Moraceae,N,LC,Non Endemic
Ficus microcarpa L.f.,54,Tree,Moraceae,N,LC,Non Endemic
Ficus nervosa B.Heyne ex Roth,3,Tree,Moraceae,N,LC,Non Endemic
Ficus racemosa L.,516,Tree,Moraceae,N,LC,Non Endemic
Ficus religiosa L.,371,Tree,Moraceae,N,NE,Non Endemic
Ficus tsjahela Burm. f.,6,Tree,Moraceae,N,NE,Non Endemic
Ficus virens W.T.Aiton,53,Tree,Moraceae,N,LC,Non Endemic
Filicium decipiens (Wight & Arn.) Thwaites,58,Tree,Sapindaceae,N,LC,Non Endemic
Flacourtia indica (Burm.f.) Merr.,60,Tree,Salicaceae,N,LC,Non Endemic
Flacourtia inermis Roxb.,330,Shrub,Salicaceae,E,NE,Non Endemic
Flacourtia jangomas (Lour.) Raeusch.,8,Tree,Salicaceae,N,NE,Non Endemic
Flacourtia montana J.Graham,158,Tree,Salicaceae,N,NE,Endemic
Flueggea leucopyrus Willd.,381,Shrub,Phyllanthaceae,N,NE,Non Endemic
Garcinia × mangostana L.,159,Tree,Clusiaceae,E,NE,Non Endemic
Garcinia gummi-gutta (L.) Roxb.,437,Tree,Clusiaceae,N,LC,Non Endemic
Garcinia indica (Thouars) Choisy,3704,Tree,Clusiaceae,N,VU,Endemic
Garcinia intermedia (Pittier) Hammel,145,Tree,Clusiaceae,E,LC,Non Endemic
Garcinia morella (Gaertn.) Desr.,55,Tree,Clusiaceae,N,LC,Non Endemic
Garcinia xanthochymus Hook. f. ex J.Anders.,246,Tree,Clusiaceae,N,LC,Non Endemic
Gardenia jasminoides J.Ellis,106,Shrub,Rubiaceae,E,NE,Non Endemic
Gliricidia sepium (Jacq.) Walp.,898,Tree,Fabaceae,E,LC,Non Endemic
Gmelina arborea Roxb.,783,Tree,Lamiaceae,N,LC,Non Endemic
Grevillea robusta A.Cunn. ex R.Br.,89,Tree,Proteaceae,E,LC,Non Endemic
Grewia nervosa (Lour.) G. Panigrahi,23,Shrub,Malvaceae,N,NE,Non Endemic
Grewia serrulata DC.,72,Tree,Malvaceae,N,NE,Non Endemic
Grewia tiliifolia Vahl,17,Tree,Malvaceae,N,NE,Non Endemic
Guazuma ulmifolia Lam.,14,Tree,Malvaceae,E,LC,Non Endemic
Gymnacranthera canarica (King) Warb.,10,Tree,Myristicaceae,N,VU,Endemic
Haldina cordifolia (Roxb.) Ridsdale,27,Tree,Rubiaceae,N,NE,Non Endemic
Hamelia patens Jacq.,41,Shrub,Rubiaceae,E,LC,Non Endemic
Hardwickia binata Roxb.,141,Tree,Fabaceae,N,LC,Non Endemic
Helicteres isora L.,28,Shrub,Malvaceae,N,NE,Non Endemic
Heterophragma quadriloculare (Roxb.) K.Schum.,7,Tree,Bignoniaceae,N,NE,Non Endemic
Heynea trijuga Roxb. ex Sims,12,Tree,Meliaceae,N,LC,Non Endemic
Hibiscus tilliaceus L.,51,Tree,Malvaceae,N,LC,Non Endemic
Holarrhena pubescens Wall. ex G.Don,6069,Tree,Apocynaceae,N,LC,Non Endemic
Holigarna arnottiana Wall. ex Hook. f.,2595,Tree,Anacardiaceae,N,NE,Endemic
Holigarna beddomei Hook.f. ,10,Tree,Anacardiaceae,N,NE,Endemic
Holigarna ferruginea Marchand,10,Tree,Anacardiaceae,N,NE,Endemic
Holoptelea integrifolia Planch.,187,Tree,Ulmaceae,N,NE,Non Endemic
Hopea canarensis Hole,10,Tree,Dipterocarpaceae,N,EN,Endemic
Hopea parviflora Bedd.,1795,Tree,Dipterocarpaceae,N,LC,Endemic
Hopea ponga (Dennst.) Mabb.,1049,Tree,Dipterocarpaceae,N,EN,Endemic
Hydnocarpus pentandra (Buch.-Ham.) Oken,179,Tree,Achariaceae,N,NE,Endemic
Hymenodictyon orixense (Roxb.) Mabb.,48,Tree,Rubiaceae,N,NE,Non Endemic
Ixora brachiata Roxb.,23415,Tree,Rubiaceae,N,NE,Endemic
Ixora casei Hance,2886,Shrub,Rubiaceae,E,NE,Non Endemic
Ixora coccinea L.,1249,Shrub,Rubiaceae,N,NE,Non Endemic
Ixora finlaysoniana Wall. ex G.Don,122,Shrub,Rubiaceae,N,NE,Non Endemic
Ixora pavetta Andr.,9,Tree,Rubiaceae,N,NE,Non Endemic
Jacaranda mimosifolia D. Don,47,Tree,Bignoniaceae,E,VU,Non Endemic
Jatropha curcas L.,65,Shrub,Euphorbiaceae,E,LC,Non Endemic
Justicia adhatoda L.,72,Shrub,Acanthaceae,N,NE,Non Endemic
Kigelia africana (Lam.) Benth.,37,Tree,Bignoniaceae,E,LC,Non Endemic
Kingiodendron pinnatum (DC.)Harms,147,Tree,Fabaceae,N,EN,Endemic
Knema attenuate (Hook. f. & Thomson) Warb.,10,Tree,Myristicaceae,N,LC,Endemic
Kopsia arborea Blume,14,Tree,Apocynaceae,E,LC,Non Endemic
Lagerstroemia indica L.,100,Tree,Lythraceae,N,LC,Non Endemic
Lagerstroemia microcarpa Wight,43,Tree,Lythraceae,N,NE,Endemic
Lagerstroemia speciosa (L.) Pers.,3335,Tree,Lythraceae,N,NE,Non Endemic
Lannea coromandelica (Houtt.) Merr.,1026,Tree,Anacardiaceae,N,NE,Non Endemic
Lawsonia inermis L.,27,Shrub,Lythraceae,N,LC,Non Endemic
Leea indica (Burm. f.) Merr.,237,Shrub,Vitaceae,N,LC,Non Endemic
Leucaena leucocephala (Lam.) de Wit,46,Tree,Fabaceae,E,NE,Non Endemic
Limonia acidissima L.,76,Tree,Rutaceae,N,NE,Non Endemic
Litchi chinensis Sonn.,366,Tree,Sapindaceae,E,NE,Non Endemic
Litsea coriacea Hook.f,1,Tree,Lauraceae,N,NT,Non Endemic
